WHOI SSSG dsLogCsv
DATE_GMT, TIME_GMT, Dec_LAT, Dec_LON, SPD, HDT, DPS_COG, SOG, WXTP_Ta, WXTS_Ta, WXTP_Pa, WXTS_Pa, WXTP_Ri, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Dm, WXTS_Dm, WXTP_Sm, WXTS_Sm, WXTP_Ua, WXTS_Ua, WXTP_TS, WXTS_TS, WXTP_TD, WXTS_TD, BAROM_P, BAROM_S, RAD_SW, RAD_LW, PAR, SBE45S, SBE48T, FLR, FLOW, SSVdslog, Depth12, Depth35, EM122, EM710
2024/06/05, 00:00:52.700, 45.501, -58.862, 10.27, 76.380, 76.610000, 10.390, 8.8, 8.8, 1004.7, 1004.6, 0.0, 0.0, 7.810, 7.100, 313, 314, 9.6, 12.3, 100.0, 100.0, 7.2, 9.5, 356.0, 6.0, 1006.8, 1006.7, -4.810, 377.340, 0.72, 31.0048, 7.3712, 96.700, 0.0, 1475.190, NAN, NAN, NAN, NAN
2024/06/05, 00:01:52.700, 45.502, -58.858, 10.49, 76.620, 76.850000, 10.790, 8.8, 8.8, 1004.8, 1004.6, 0.0, 0.0, 7.810, 7.100, 315, 315, 9.6, 12.2, 100.0, 100.0, 7.0, 9.2, 356.9, 6.1, 1006.9, 1006.7, -4.820, 376.940, 0.66, 31.0063, 7.3751, 97.000, 0.0, 1475.207, NAN, NAN, NAN, NAN
2024/06/05, 00:02:52.700, 45.502, -58.854, 10.41, 76.410, 78.340000, 11.010, 8.8, 8.8, 1004.8, 1004.6, 0.0, 0.0, 7.810, 7.100, 313, 314, 9.5, 12.3, 100.0, 100.0, 7.1, 9.4, 353.0, 4.3, 1006.9, 1006.7, -4.940, 374.250, 0.62, 31.0067, 7.3771, 96.700, 0.0, 1475.216, NAN, NAN, NAN, NAN
2024/06/05, 00:03:52.700, 45.503, -58.850, 10.18, 76.190, 79.120000, 10.740, 8.8, 8.8, 1004.8, 1004.7, 0.0, 0.0, 7.810, 7.100, 312, 314, 9.5, 12.4, 100.0, 100.0, 7.3, 9.6, 352.8, 4.9, 1006.9, 1006.8, -4.970, 375.360, 0.49, 31.0074, 7.3839, 98.200, 0.0, 1475.243, NAN, NAN, NAN, NAN
2024/06/05, 00:04:52.700, 45.503, -58.846, 10.14, 76.230, 77.350000, 10.460, 8.8, 8.8, 1004.8, 1004.6, 0.0, 0.0, 7.810, 7.100, 311, 312, 10.1, 12.6, 100.0, 100.0, 7.9, 10.0, 355.3, 4.0, 1006.9, 1006.7, -4.970, 377.170, 0.37, 31.0084, 7.4019, 97.000, 0.0, 1475.314, NAN, NAN, NAN, NAN
2024/06/05, 00:05:52.700, 45.504, -58.842, 10.31, 75.910, 78.070000, 10.850, 8.8, 8.9, 1004.8, 1004.7, 0.0, 0.0, 7.810, 7.100, 316, 315, 10.2, 13.0, 100.0, 100.0, 7.4, 10.0, 359.6, 7.1, 1006.9, 1006.8, -5.070, 377.610, 0.32, 31.0089, 7.4229, 96.700, 0.0, 1475.396, NAN, NAN, NAN, NAN
2024/06/05, 00:06:52.700, 45.505, -58.838, 10.43, 76.680, 74.880000, 10.850, 8.9, 8.9, 1004.8, 1004.7, 0.0, 0.0, 7.810, 7.100, 316, 315, 10.0, 12.8, 100.0, 100.0, 7.1, 9.7, 359.8, 7.7, 1006.9, 1006.8, -5.100, 377.140, 0.29, 31.0102, 7.4293, 97.000, 0.0, 1475.422, NAN, NAN, NAN, NAN
2024/06/05, 00:07:52.700, 45.505, -58.833, 10.43, 76.120, 78.640000, 10.770, 8.9, 8.9, 1004.8, 1004.8, 0.0, 0.0, 7.810, 7.100, 314, 315, 9.6, 12.7, 100.0, 100.0, 7.1, 9.7, 355.3, 6.9, 1006.9, 1006.9, -5.150, 377.080, 0.24, 31.0118, 7.4263, 97.600, 0.0, 1475.412, NAN, NAN, NAN, NAN
2024/06/05, 00:08:52.701, 45.506, -58.829, 10.40, 75.660, 79.140000, 10.920, 8.9, 8.9, 1004.9, 1004.7, 0.0, 0.0, 7.810, 7.100, 314, 314, 9.6, 12.5, 100.0, 100.0, 7.2, 9.7, 354.1, 4.1, 1007.0, 1006.8, -5.000, 376.630, 0.20, 31.0124, 7.4186, 98.000, 0.0, 1475.383, NAN, NAN, NAN, NAN
2024/06/05, 00:09:52.701, 45.507, -58.825, 10.28, 76.430, 77.160000, 10.930, 8.8, 8.9, 1004.8, 1004.8, 0.0, 0.0, 7.810, 7.100, 314, 315, 9.1, 12.1, 100.0, 100.0, 6.7, 9.1, 352.5, 5.2, 1006.9, 1006.9, -4.920, 375.980, 0.17, 31.0127, 7.4045, 98.500, 0.0, 1475.329, NAN, NAN, NAN, NAN
2024/06/05, 00:10:52.701, 45.507, -58.821, 10.47, 75.990, 77.020000, 10.670, 8.8, 8.8, 1004.8, 1004.7, 0.0, 0.0, 7.810, 7.100, 313, 313, 9.6, 12.4, 100.0, 100.0, 7.2, 9.7, 354.5, 3.9, 1006.9, 1006.8, -4.980, 376.500, 0.13, 31.0143, 7.3809, 98.000, 0.0, 1475.240, NAN, NAN, NAN, NAN
2024/06/05, 00:11:52.701, 45.508, -58.817, 10.26, 77.450, 77.250000, 10.690, 8.8, 8.8, 1004.9, 1004.6, 0.0, 0.0, 7.810, 7.100, 313, 312, 9.4, 12.4, 100.0, 100.0, 6.9, 9.6, 355.1, 4.4, 1007.0, 1006.7, -5.040, 377.410, 0.09, 31.0153, 7.3413, 97.000, 0.0, 1475.087, NAN, NAN, NAN, NAN
2024/06/05, 00:12:52.701, 45.509, -58.813, 10.40, 76.730, 77.430000, 10.880, 8.8, 8.8, 1004.9, 1004.8, 0.0, 0.0, 7.810, 7.100, 313, 313, 9.3, 12.4, 100.0, 100.0, 6.9, 9.6, 353.0, 4.1, 1007.0, 1006.9, -5.140, 377.320, 0.06, 31.0166, 7.3017, 97.000, 0.0, 1474.935, NAN, NAN, NAN, NAN
2024/06/05, 00:13:52.701, 45.509, -58.809, 10.35, 75.630, 77.330000, 10.820, 8.7, 8.8, 1004.9, 1004.8, 0.0, 0.0, 7.810, 7.100, 311, 312, 9.8, 12.7, 100.0, 100.0, 7.6, 10.0, 352.2, 2.7, 1007.0, 1006.9, -4.990, 377.310, 0.05, 31.0172, 7.2536, 97.300, 0.0, 1474.749, NAN, NAN, NAN, NAN
2024/06/05, 00:14:52.701, 45.510, -58.804, 10.38, 75.800, 77.800000, 10.820, 8.7, 8.7, 1005.0, 1004.7, 0.0, 0.0, 7.810, 7.100, 309, 311, 9.2, 12.0, 100.0, 100.0, 7.3, 9.5, 347.6, 359.9, 1007.1, 1006.8, -4.980, 377.290, 0.05, 31.0177, 7.2040, 97.000, 0.0, 1474.557, NAN, NAN, NAN, NAN
2024/06/05, 00:15:52.701, 45.511, -58.800, 10.47, 75.830, 75.210000, 10.540, 8.7, 8.7, 1004.9, 1004.8, 0.0, 0.0, 7.810, 7.100, 308, 310, 8.9, 11.7, 100.0, 100.0, 7.0, 9.2, 346.3, 359.0, 1007.0, 1006.9, -4.960, 376.500, 0.04, 31.0193, 7.1842, 98.000, 0.0, 1474.482, NAN, NAN, NAN, NAN
2024/06/05, 00:16:52.701, 45.512, -58.796, 10.34, 76.040, 77.390000, 10.850, 8.6, 8.7, 1004.9, 1004.7, 0.0, 0.0, 7.810, 7.100, 307, 311, 8.5, 11.1, 100.0, 100.0, 6.9, 8.6, 342.2, 357.5, 1007.0, 1006.8, -5.060, 375.720, 0.04, 31.0203, 7.1745, 97.000, 0.0, 1474.445, NAN, NAN, NAN, NAN
2024/06/05, 00:17:52.701, 45.512, -58.792, 10.44, 76.010, 76.840000, 10.910, 8.6, 8.6, 1004.9, 1004.5, 0.0, 0.0, 7.810, 7.100, 308, 310, 8.6, 11.3, 100.0, 100.0, 6.8, 8.9, 343.4, 356.8, 1007.0, 1006.6, -4.980, 375.910, 0.03, 31.0209, 7.1648, 98.500, 0.0, 1474.408, NAN, NAN, NAN, NAN
