WHOI SSSG dsLogCsv
DATE_GMT, TIME_GMT, Dec_LAT, Dec_LON, SPD, HDT, DPS_COG, SOG, WXTP_Ta, WXTS_Ta, WXTP_Pa, WXTS_Pa, WXTP_Ri, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Dm, WXTS_Dm, WXTP_Sm, WXTS_Sm, WXTP_Ua, WXTS_Ua, WXTP_TS, WXTS_TS, WXTP_TD, WXTS_TD, BAROM_P, BAROM_S, RAD_SW, RAD_LW, PAR, SBE45S, SBE48T, FLR, FLOW, SSVdslog, Depth12, Depth35, EM122, EM710
2024/06/08, 00:00:20.828, 53.270, -46.098, 12.08, 32.390, 36.470000, 12.680, 10.7, 10.7, 1014.8, 1014.8, 0.0, 0.0, 0.000, 0.000, 56, 53, 6.5, 6.5, 100.0, 100.0, 5.8, 5.5, 151.9, 150.5, 1016.9, 1016.9, -4.970, 385.600, 0.49, 34.6471, 9.2517, 594.500, 28.6, 1486.772, NAN, NAN, NAN, NAN
2024/06/08, 00:01:20.828, 53.273, -46.094, 12.18, 32.880, 35.190000, 12.590, 10.7, 10.7, 1014.8, 1014.7, 0.0, 0.0, 0.000, 0.000, 58, 55, 6.5, 6.6, 100.0, 100.0, 6.1, 5.8, 152.6, 150.2, 1016.9, 1016.8, -5.120, 385.490, 0.42, 34.6469, 9.2473, 602.200, 28.6, 1486.756, NAN, NAN, NAN, NAN
2024/06/08, 00:02:20.828, 53.276, -46.091, 12.17, 32.660, 35.140000, 12.520, 10.7, 10.7, 1014.9, 1014.8, 0.0, 0.0, 0.000, 0.000, 57, 54, 6.6, 6.6, 100.0, 100.0, 6.0, 5.7, 150.7, 149.1, 1017.0, 1016.9, -4.960, 385.870, 0.35, 34.6477, 9.2415, 606.500, 29.0, 1486.736, NAN, NAN, NAN, NAN
2024/06/08, 00:03:20.828, 53.279, -46.088, 12.12, 32.470, 31.360000, 12.380, 10.7, 10.7, 1014.8, 1014.8, 0.0, 0.0, 0.000, 0.000, 60, 57, 6.7, 6.5, 100.0, 100.0, 6.5, 6.1, 150.3, 150.2, 1016.9, 1016.9, -5.040, 385.930, 0.30, 34.6470, 9.2424, 601.900, 29.2, 1486.738, NAN, NAN, NAN, NAN
2024/06/08, 00:04:20.828, 53.281, -46.085, 12.07, 33.980, 32.990000, 12.650, 10.7, 10.7, 1014.9, 1014.8, 0.0, 0.0, 0.000, 0.000, 59, 55, 6.6, 6.9, 100.0, 100.0, 6.4, 6.2, 152.9, 148.4, 1017.0, 1016.9, -5.110, 385.980, 0.27, 34.6447, 9.2481, 597.400, 29.2, 1486.756, NAN, NAN, NAN, NAN
2024/06/08, 00:05:20.828, 53.284, -46.081, 12.10, 32.840, 36.260000, 12.640, 10.7, 10.7, 1014.7, 1014.8, 0.0, 0.0, 0.000, 0.000, 60, 59, 6.5, 6.8, 100.0, 100.0, 6.3, 6.3, 153.9, 151.0, 1016.8, 1016.9, -5.100, 386.410, 0.25, 34.6441, 9.2676, 628.100, 29.2, 1486.827, NAN, NAN, NAN, NAN
2024/06/08, 00:06:20.828, 53.287, -46.078, 12.11, 33.500, 37.010000, 12.490, 10.7, 10.7, 1014.7, 1014.7, 0.0, 0.0, 0.000, 0.000, 60, 59, 6.8, 6.8, 100.0, 100.0, 6.4, 6.3, 151.7, 151.1, 1016.8, 1016.8, -5.130, 386.820, 0.20, 34.6416, 9.2891, 639.500, 29.2, 1486.902, NAN, NAN, NAN, NAN
2024/06/08, 00:07:20.828, 53.290, -46.075, 12.12, 32.400, 32.610000, 12.460, 10.7, 10.8, 1014.7, 1014.7, 0.0, 0.0, 0.000, 0.000, 63, 62, 6.7, 6.5, 100.0, 100.0, 6.8, 6.6, 152.3, 153.2, 1016.8, 1016.8, -5.080, 387.070, 0.16, 34.6391, 9.2964, 637.200, 29.3, 1486.926, NAN, NAN, NAN, NAN
2024/06/08, 00:08:20.828, 53.293, -46.072, 12.10, 31.990, 34.730000, 12.430, 10.8, 10.8, 1014.8, 1014.7, 0.0, 0.0, 0.000, 0.000, 62, 62, 6.8, 6.5, 100.0, 100.0, 6.6, 6.5, 150.9, 153.1, 1016.9, 1016.8, -5.130, 387.570, 0.14, 34.6355, 9.2903, 646.200, 29.3, 1486.899, NAN, NAN, NAN, NAN
2024/06/08, 00:09:20.828, 53.296, -46.068, 12.06, 33.110, 32.430000, 12.620, 10.8, 10.9, 1014.7, 1014.7, 0.0, 0.0, 0.000, 0.000, 64, 61, 6.5, 6.7, 100.0, 100.0, 6.8, 6.6, 155.4, 152.4, 1016.8, 1016.8, -5.100, 387.660, 0.13, 34.6278, 9.2832, 669.700, 29.4, 1486.864, NAN, NAN, NAN, NAN
2024/06/08, 00:10:20.828, 53.299, -46.065, 12.08, 33.160, 32.600000, 12.410, 10.8, 10.9, 1014.6, 1014.7, 0.0, 0.0, 0.000, 0.000, 62, 59, 6.6, 6.3, 100.0, 100.0, 6.6, 6.2, 152.8, 153.6, 1016.7, 1016.8, -5.060, 387.210, 0.12, 34.6270, 9.2783, 671.200, 29.3, 1486.845, NAN, NAN, NAN, NAN
2024/06/08, 00:11:20.829, 53.301, -46.062, 11.99, 33.000, 33.410000, 12.470, 10.8, 10.9, 1014.5, 1014.6, 0.0, 0.0, 0.000, 0.000, 61, 58, 6.8, 6.9, 100.0, 100.0, 6.5, 6.2, 151.7, 149.2, 1016.6, 1016.7, -5.100, 387.240, 0.10, 34.6274, 9.2744, 679.800, 29.3, 1486.831, NAN, NAN, NAN, NAN
2024/06/08, 00:12:20.829, 53.304, -46.059, 12.01, 33.220, 35.100000, 12.450, 10.8, 10.8, 1014.7, 1014.7, 0.0, 0.0, 0.000, 0.000, 58, 56, 6.8, 7.0, 100.0, 100.0, 6.2, 6.1, 149.9, 147.1, 1016.8, 1016.8, -5.100, 387.320, 0.08, 34.6273, 9.2800, 677.600, 29.3, 1486.852, NAN, NAN, NAN, NAN
2024/06/08, 00:13:20.829, 53.307, -46.055, 12.07, 32.430, 33.940000, 12.400, 10.8, 10.8, 1014.7, 1014.7, 0.0, 0.0, 0.000, 0.000, 59, 54, 7.0, 7.1, 100.0, 100.0, 6.5, 6.0, 147.7, 143.9, 1016.8, 1016.8, -5.110, 387.050, 0.08, 34.6296, 9.2844, 675.500, 29.4, 1486.871, NAN, NAN, NAN, NAN
2024/06/08, 00:14:20.829, 53.310, -46.052, 12.04, 32.430, 36.840000, 12.680, 10.8, 10.8, 1014.5, 1014.6, 0.0, 0.0, 0.000, 0.000, 57, 54, 6.8, 7.0, 100.0, 100.0, 6.1, 5.9, 149.9, 146.6, 1016.6, 1016.7, -5.160, 386.680, 0.07, 34.6304, 9.2876, 676.900, 29.3, 1486.883, NAN, NAN, NAN, NAN
2024/06/08, 00:15:20.829, 53.313, -46.049, 12.08, 31.790, 34.620000, 12.520, 10.8, 10.8, 1014.7, 1014.6, 0.0, 0.0, 0.000, 0.000, 57, 54, 7.0, 7.1, 100.0, 100.0, 6.1, 5.8, 147.1, 144.5, 1016.8, 1016.7, -5.150, 386.820, 0.06, 34.6298, 9.2939, 689.900, 29.3, 1486.906, NAN, NAN, NAN, NAN
2024/06/08, 00:16:20.829, 53.316, -46.046, 12.11, 32.910, 36.210000, 12.660, 10.8, 10.8, 1014.7, 1014.7, 0.0, 0.0, 0.000, 0.000, 59, 56, 7.0, 7.1, 100.0, 100.0, 6.5, 6.2, 149.6, 147.0, 1016.8, 1016.8, -5.150, 387.430, 0.05, 34.6307, 9.3039, 687.000, 29.3, 1486.943, NAN, NAN, NAN, NAN
2024/06/08, 00:17:20.829, 53.319, -46.042, 12.12, 33.630, 36.920000, 12.710, 10.8, 10.8, 1014.7, 1014.7, 0.0, 0.0, 0.000, 0.000, 59, 56, 6.8, 6.9, 100.0, 100.0, 6.5, 6.3, 151.3, 148.9, 1016.8, 1016.8, -5.060, 387.370, 0.04, 34.6323, 9.3004, 718.500, 29.3, 1486.932, NAN, NAN, NAN, NAN
2024/06/08, 00:18:20.829, 53.322, -46.039, 12.08, 33.450, 31.670000, 12.630, 10.9, 10.9, 1014.7, 1014.7, 0.0, 0.0, 0.000, 0.000, 58, 56, 6.8, 7.1, 100.0, 100.0, 6.5, 6.5, 149.9, 146.5, 1016.8, 1016.8, -5.080, 386.930, 0.04, 34.6301, 9.2906, 769.700, 29.3, 1486.894, NAN, NAN, NAN, NAN
2024/06/08, 00:19:20.829, 53.324, -46.036, 12.05, 32.430, 32.400000, 12.430, 10.9, 10.9, 1014.7, 1014.6, 0.0, 0.0, 0.000, 0.000, 59, 56, 7.2, 7.0, 100.0, 100.0, 6.7, 6.3, 146.1, 145.8, 1016.8, 1016.7, -5.160, 386.990, 0.04, 34.6281, 9.2800, 799.800, 29.4, 1486.853, NAN, NAN, NAN, NAN
2024/06/08, 00:20:20.829, 53.327, -46.033, 12.06, 32.770, 36.910000, 12.500, 10.9, 10.9, 1014.7, 1014.7, 0.0, 0.0, 0.000, 0.000, 59, 58, 7.3, 7.5, 100.0, 100.0, 6.5, 6.5, 146.9, 144.8, 1016.8, 1016.8, -5.130, 387.360, 0.04, 34.6266, 9.2715, 782.500, 29.3, 1486.820, NAN, NAN, NAN, NAN
2024/06/08, 00:21:20.829, 53.330, -46.029, 12.10, 31.520, 32.940000, 12.410, 10.9, 10.9, 1014.7, 1014.7, 0.0, 0.0, 0.000, 0.000, 60, 58, 7.0, 7.2, 100.0, 100.0, 6.6, 6.5, 147.5, 144.8, 1016.8, 1016.8, -5.150, 387.290, 0.03, 34.6258, 9.2671, 808.100, 29.4, 1486.803, NAN, NAN, NAN, NAN
2024/06/08, 00:22:20.829, 53.333, -46.026, 12.12, 33.320, 35.870000, 12.470, 10.9, 10.9, 1014.7, 1014.7, 0.0, 0.0, 0.000, 0.000, 59, 58, 7.2, 7.3, 100.0, 100.0, 6.8, 6.7, 146.9, 145.6, 1016.8, 1016.8, -5.120, 387.560, 0.02, 34.6260, 9.2650, 801.100, 29.2, 1486.795, NAN, NAN, NAN, NAN
2024/06/08, 00:23:20.829, 53.336, -46.023, 12.18, 32.480, 36.380000, 12.620, 10.9, 10.9, 1014.7, 1014.8, 0.0, 0.0, 0.000, 0.000, 59, 57, 7.0, 7.2, 100.0, 100.0, 6.4, 6.3, 149.2, 146.5, 1016.8, 1016.9, -5.070, 387.650, 0.02, 34.6261, 9.2645, 805.100, 29.2, 1486.794, NAN, NAN, NAN, NAN
2024/06/08, 00:24:20.829, 53.339, -46.020, 12.09, 33.070, 34.140000, 12.840, 10.9, 10.9, 1014.7, 1014.7, 0.0, 0.0, 0.000, 0.000, 60, 59, 7.0, 7.2, 100.0, 100.0, 6.7, 6.7, 150.4, 148.4, 1016.8, 1016.8, -5.130, 387.290, 0.02, 34.6273, 9.2657, 826.700, 29.2, 1486.799, NAN, NAN, NAN, NAN
2024/06/08, 00:25:20.829, 53.342, -46.016, 12.00, 32.780, 34.170000, 12.380, 10.9, 10.9, 1014.8, 1014.7, 0.0, 0.0, 0.000, 0.000, 60, 58, 7.2, 7.1, 100.0, 100.0, 6.7, 6.4, 147.2, 146.7, 1016.9, 1016.8, -5.180, 387.280, 0.02, 34.6280, 9.2687, 836.400, 29.2, 1486.811, NAN, NAN, NAN, NAN
2024/06/08, 00:26:20.829, 53.345, -46.013, 12.01, 32.990, 34.370000, 12.520, 10.9, 10.9, 1014.7, 1014.8, 0.0, 0.0, 0.000, 0.000, 60, 57, 7.1, 7.2, 100.0, 100.0, 6.6, 6.4, 148.7, 146.1, 1016.8, 1016.9, -5.090, 386.460, 0.01, 34.6287, 9.2718, 866.400, 29.2, 1486.823, NAN, NAN, NAN, NAN
2024/06/08, 00:27:20.830, 53.347, -46.010, 12.23, 32.430, 32.330000, 12.530, 10.9, 10.9, 1014.8, 1014.7, 0.0, 0.0, 0.000, 0.000, 60, 59, 7.0, 7.0, 100.0, 100.0, 6.6, 6.5, 149.0, 148.4, 1016.9, 1016.8, -5.050, 387.430, 0.01, 34.6284, 9.2816, 857.600, 29.3, 1486.859, NAN, NAN, NAN, NAN
2024/06/08, 00:28:20.830, 53.350, -46.007, 12.04, 33.270, 32.400000, 12.640, 10.9, 10.9, 1014.7, 1014.7, 0.0, 0.0, 0.000, 0.000, 61, 58, 7.1, 7.1, 100.0, 100.0, 7.0, 6.7, 149.3, 147.5, 1016.8, 1016.8, -5.140, 386.800, 0.01, 34.6287, 9.2935, 864.600, 29.3, 1486.903, NAN, NAN, NAN, NAN
2024/06/08, 00:29:20.830, 53.353, -46.004, 12.02, 32.450, 34.930000, 12.550, 10.9, 10.9, 1014.7, 1014.7, 0.0, 0.0, 0.000, 0.000, 60, 56, 7.2, 7.3, 100.0, 100.0, 6.6, 6.3, 147.9, 144.6, 1016.8, 1016.8, -5.090, 387.220, 0.01, 34.6311, 9.3013, 870.700, 29.2, 1486.934, NAN, NAN, NAN, NAN
2024/06/08, 00:30:20.830, 53.356, -46.000, 12.14, 31.720, 36.230000, 12.540, 10.9, 10.9, 1014.5, 1014.6, 0.0, 0.0, 0.000, 0.000, 60, 56, 7.1, 7.2, 100.0, 100.0, 6.4, 6.0, 148.4, 145.2, 1016.6, 1016.7, -5.060, 387.220, 0.00, 34.6317, 9.3084, 861.200, 29.3, 1486.961, NAN, NAN, NAN, NAN
2024/06/08, 00:31:20.830, 53.359, -45.997, 12.09, 31.380, 33.710000, 12.680, 10.9, 10.9, 1014.7, 1014.7, 0.0, 0.0, 0.000, 0.000, 59, 55, 7.0, 7.0, 100.0, 100.0, 6.5, 6.1, 148.0, 145.7, 1016.8, 1016.8, -5.180, 386.980, 0.00, 34.6313, 9.3107, 878.800, 29.4, 1486.969, NAN, NAN, NAN, NAN
2024/06/08, 00:32:20.830, 53.362, -45.994, 12.06, 32.270, 31.760000, 12.410, 10.8, 10.9, 1014.7, 1014.7, 0.0, 0.0, 0.000, 0.000, 59, 56, 6.9, 7.2, 100.0, 100.0, 6.5, 6.4, 148.0, 143.9, 1016.8, 1016.8, -5.180, 386.660, -0.00, 34.6320, 9.3083, 864.000, 29.4, 1486.961, NAN, NAN, NAN, NAN
