WHOI SSSG dsLogCsv
DATE_GMT, TIME_GMT, Dec_LAT, Dec_LON, SPD, HDT, DPS_COG, SOG, WXTP_Ta, WXTS_Ta, WXTP_Pa, WXTS_Pa, WXTP_Ri, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Dm, WXTS_Dm, WXTP_Sm, WXTS_Sm, WXTP_Ua, WXTS_Ua, WXTP_TS, WXTS_TS, WXTP_TD, WXTS_TD, BAROM_P, BAROM_S, RAD_SW, RAD_LW, PAR, SBE45S, SBE48T, FLR, FLOW, SSVdslog, Depth12, Depth35, EM122, EM710
2024/06/10, 00:00:32.800, 59.937, -39.466, 1.07, 35.460, 37.520000, 0.650, 6.9, 6.9, 1016.5, 1016.5, 0.0, 0.0, 0.000, 0.000, 33, 29, 9.4, 10.1, 100.0, 100.0, 9.1, 9.8, 69.8, 65.6, 1018.6, 1018.6, -3.950, 366.280, 4.20, 34.8429, 6.9185, 252.800, 29.4, 1478.229, NAN, NAN, NAN, NAN
2024/06/10, 00:01:32.800, 59.937, -39.465, 1.00, 36.060, 8.620000, 0.710, 6.9, 6.9, 1016.5, 1016.5, 0.0, 0.0, 0.000, 0.000, 34, 29, 8.6, 9.3, 100.0, 100.0, 8.3, 9.0, 71.6, 66.3, 1018.6, 1018.6, -4.060, 366.290, 3.79, 34.8424, 6.9175, 250.000, 29.3, 1478.224, NAN, NAN, NAN, NAN
2024/06/10, 00:02:32.800, 59.937, -39.465, 1.08, 35.090, 29.140000, 0.860, 6.9, 6.9, 1016.5, 1016.5, 0.0, 0.0, 0.000, 0.000, 35, 30, 9.2, 9.8, 100.0, 100.0, 8.9, 9.4, 71.9, 66.6, 1018.6, 1018.6, -4.110, 366.270, 3.42, 34.8424, 6.9163, 257.400, 29.3, 1478.220, NAN, NAN, NAN, NAN
2024/06/10, 00:03:32.800, 59.937, -39.465, 1.02, 35.600, 46.980000, 0.720, 6.9, 6.9, 1016.5, 1016.5, 0.0, 0.0, 0.000, 0.000, 35, 29, 8.1, 9.4, 100.0, 100.0, 7.8, 9.1, 72.1, 65.7, 1018.6, 1018.6, -4.270, 366.130, 3.22, 34.8424, 6.9148, 253.400, 29.3, 1478.214, NAN, NAN, NAN, NAN
2024/06/10, 00:04:32.800, 59.937, -39.465, 1.34, 34.540, 41.230000, 1.150, 6.9, 6.9, 1016.5, 1016.6, 0.0, 0.0, 0.000, 0.000, 34, 29, 8.9, 9.1, 100.0, 100.0, 8.4, 8.6, 70.3, 65.0, 1018.6, 1018.7, -4.340, 366.120, 3.08, 34.8429, 6.9133, 253.400, 29.4, 1478.209, NAN, NAN, NAN, NAN
2024/06/10, 00:05:32.800, 59.938, -39.464, 1.46, 34.600, 38.180000, 1.270, 6.9, 6.9, 1016.5, 1016.5, 0.0, 0.0, 0.000, 0.000, 36, 31, 9.5, 11.2, 100.0, 100.0, 9.0, 10.6, 72.8, 67.2, 1018.6, 1018.6, -4.240, 366.220, 3.02, 34.8351, 6.9100, 255.500, 29.4, 1478.186, NAN, NAN, NAN, NAN
2024/06/10, 00:06:32.800, 59.938, -39.464, 1.40, 35.860, 26.940000, 0.940, 6.9, 6.9, 1016.5, 1016.5, 0.0, 0.0, 0.000, 0.000, 34, 30, 9.5, 10.2, 100.0, 100.0, 9.1, 9.8, 71.7, 67.4, 1018.6, 1018.6, -4.260, 366.450, 2.90, 34.8429, 6.9051, 251.000, 29.4, 1478.177, NAN, NAN, NAN, NAN
2024/06/10, 00:07:32.800, 59.938, -39.464, 1.36, 35.910, 35.960000, 1.140, 6.9, 6.9, 1016.5, 1016.5, 0.0, 0.0, 0.000, 0.000, 33, 27, 9.1, 9.4, 100.0, 100.0, 8.6, 8.9, 70.9, 64.5, 1018.6, 1018.6, -4.420, 366.210, 2.65, 34.8430, 6.9019, 250.700, 29.4, 1478.165, NAN, NAN, NAN, NAN
2024/06/10, 00:08:32.801, 59.938, -39.463, 1.33, 35.090, 42.770000, 1.060, 6.9, 6.9, 1016.5, 1016.5, 0.0, 0.0, 0.000, 0.000, 33, 29, 8.8, 10.0, 100.0, 100.0, 8.3, 9.5, 69.8, 65.4, 1018.6, 1018.6, -4.330, 366.290, 2.47, 34.8425, 6.8985, 249.700, 29.4, 1478.151, NAN, NAN, NAN, NAN
2024/06/10, 00:09:32.801, 59.939, -39.463, 1.26, 34.990, 39.130000, 1.000, 6.9, 6.9, 1016.6, 1016.5, 0.0, 0.0, 0.000, 0.000, 34, 28, 8.9, 9.4, 100.0, 100.0, 8.5, 9.0, 71.1, 64.7, 1018.7, 1018.6, -4.460, 366.290, 2.25, 34.8434, 6.8961, 251.600, 29.4, 1478.143, NAN, NAN, NAN, NAN
